索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_STAFF_INFO,表全名,JHPDL:JH_STAFF_INFO,,,,,,
,表说明,人员基本信息,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,EMP,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,EMP0001,String字符串（变长）,,STAFF_SN,人员编号,人员编号，系统生成二级编码，如“E00.000.001”,20,是,是
,\x00\x02,EMP0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,EMP0003,String字符串（变长）,,STAFF_NAME,人员姓名,医疗人员姓名,200,是,是
,\x00\x04,EMP0004,String字符串（变长）,,MED_ORG_SN,医疗机构编号,首次登记的医疗机构唯一编号，关联JH_MED_ORG 的 ORG0001；用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,200,是,是
,\x00\x05,EMP0005,String字符串（变长）,,HIS_EMP_ID,人员业务唯一号,院内来源业务系统业务流通的员工唯一编号，如工号,100,是,是
,\x00\x06,EMP0006,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,院内来源业务系统行主键的构建方式（说明HIS_KEY是怎么构成的）,200,,
,\x00\x07,EMP0007,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,数据中台系统内部记录的最后修改时间,31,是,是
,\x00\x28,EMP0040,String字符串（变长）,,SC_SEX,性别编码,源业务系统的性别编码,200,,
,\x00\x08,EMP0008,简化字典（Integer整型，4个字节）,18,SD_SEX,性别,性别的中台标准编码，如“1”,20,,
,\x00\x09,EMP0009,String字符串（变长）,,ST_SEX,性别说明,源业务系统的性别描述,50,,
,\x00\x0A,EMP0010,Date日期型（yyyy-mm-dd）（10个字节）,,DATE_OF_BIRTH,出生日期,出生日期,20,,
,\x00\x0B,EMP0011,String字符串（变长）,,ID_CARD_NO,身份证号,身份证件号码,50,是,是
,\x00\x0C,EMP0012,String字符串（变长）,,SOLDIER_NO,军人证号,军人证件号码,50,是,是
,\x00\x29,EMP0041,String字符串（变长）,,ST_MARI_STAT,婚姻状态说明,源业务系统的婚姻状态描述,200,,
,\x00\x0D,EMP0013,简化字典（Integer整型，4个字节）,8,SD_MARI_STAT,婚姻状态,婚姻状态，中台标准“婚姻状态”编码,20,,
,\x00\x2A,EMP0042,String字符串（变长）,,SC_MARI_STAT,婚姻状态编码,源业务系统的婚姻状态编码,200,,
,\x00\x0E,EMP0014,String字符串（变长）,,ST_NATION,国籍说明,源业务系统的国籍描述,200,,
,\x00\x0F,EMP0015,String字符串（变长）,,ST_NATIONALITY,民族说明,源业务系统的民族描述,200,,
,\x00\x10,EMP0016,String字符串（变长）,,NATIVE_PROVINCE,籍贯,籍贯,200,,
,\x00\x11,EMP0017,Date日期型（yyyy-mm-dd）（10个字节）,,WORK_TIME,参加工作时间,参加工作时间,19,,
,\x00\x12,EMP0018,String字符串（变长）,,MOBILE,手机,手机,200,,
,\x00\x13,EMP0019,String字符串（变长）,,ST_EDU_LV,最高学历,源业务系统的最高学历描述,200,,
,\x00\x14,EMP0020,String字符串（变长）,,ST_DEGREE_LV,最高学位,源业务系统的最高学位描述,200,,
,\x00\x15,EMP0021,String字符串（变长）,,MAILING_ADDR_PROVINCE,联系地址省份,联系地址省份,200,,
,\x00\x16,EMP0022,String字符串（变长）,,MAILING_ADDR_CITY,联系地址地市,联系地址地市,200,,
,\x00\x17,EMP0023,String字符串（变长）,,MAILING_ADDR_COUNTY,联系地址区县,联系地址区县,200,,
,\x00\x18,EMP0024,String字符串（变长）,,MAILING_ADDR_STREET,联系地址街道,联系地址街道,200,,
,\x00\x19,EMP0025,String字符串（变长）,,MAILING_ADDRESS,联系详细地址,联系详细地址,500,,
,\x00\x1A,EMP0026,String字符串（变长）,,FAMILY_ADDR_PROVINCE,户籍所在地省份,户籍所在地省份,200,,
,\x00\x1B,EMP0027,String字符串（变长）,,FAMILY_ADDR_CITY,户籍所在地地市,户籍所在地地市,200,,
,\x00\x1C,EMP0028,String字符串（变长）,,FAMILY_ADDR_COUNTY,户籍所在地区县,户籍所在地区县,200,,
,\x00\x1D,EMP0029,String字符串（变长）,,FAMILY_ADDRESS,户籍详细地址,户籍详细地址,200,,
,\x00\x1F,EMP0031,简化字典（Integer整型，4个字节）,7,SD_RELATIONSHIP,联系人关系简码,中台标准“联系人与本人的关系”编码,20,,
,\x00\x20,EMP0032,String字符串（变长）,,ST_RELATIONSHIP,联系人关系说明,源业务系统的联系人与本人关系描述,500,,
,\x00\x21,EMP0033,String字符串（变长）,,NEXT_OF_KIN_PHONE,联系人电话,联系人电话,500,,
,\x00\x22,EMP0034,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REGISTRATION_TIME,首次登记时间,首次登记时间,19,,
,\x00\x23,EMP0035,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,LAST_UPDATE,资料最后更新时间,本资料最后更新时间,31,,
,\x00\x24,EMP0036,简化字典（Integer整型，4个字节）,379,SD_PARTY_MEMBER,是否党员,是否党员，中台标准“是否”编码,20,,
,\x00\x25,EMP0037,Date日期型（yyyy-mm-dd）（10个字节）,,PARTY_MEM_TIME,入党时间,,19,,
,\x00\x26,EMP0038,简化字典（Integer整型，4个字节）,379,SD_TEAM_MEMBER,是否团员,是否团员，中台标准“是否”编码,20,,
,\x00\x27,EMP0039,Date日期型（yyyy-mm-dd）（10个字节）,,TEAM_MEM_TIME,入团时间,,19,,
,\x00\x1E,EMP0030,String字符串（变长）,,NEXT_OF_KIN,联系人,联系人,200,,
,\x00\x2B,EMP0043,String字符串（变长）,,SC_RELATIONSHIP,联系人与患者关系编码,源业务系统的联系人与患者关系编码,200,,
,\x00\x2C,EMP0044,String字符串（变长）,,ONCE_NAME,曾用名,,200,,
,\x00\x2D,EMP0045,String字符串（变长）,,STAFF_MANAGER_NO,人员管理编号,,200,,
,\x00\x2E,EMP0046,Integer整型（4个字节）,,HOSPITAL_AGE,院龄(月),院龄(月),,,
,\x00\x2F,EMP0047,Date日期型（yyyy-mm-dd）（10个字节）,,INHOSPITA_DATE,到院日期,,,,
,\x00\x30,EMP0048,String字符串（变长）,,EMPLOYEE_STAT,员工状态,在岗、返聘、退休、实习生、进修生、见习生、离休、亡故、离职,200,,
,\x00\x31,EMP0049,String字符串（变长）,,HIGHEST_RANK,最高职级,无、正厅级、副厅级、正处级、副处级、正科级、副科级、科员、办事员、管理未定级、,200,,
,\x00\x32,EMP0050,String字符串（变长）,,TITLE_QUALIFICATION,职称资格,主任医师、副主任医师、助理工程等,200,,
,\x00\x33,EMP0051,String字符串（变长）,,DEPT,部门,,200,,
,\x00\x34,EMP0052,String字符串（变长）,,EMP_TYPE,员工类别,管理人员、专业技术人员、工勤技能人员、辅岗人员,200,,
,\x00\x35,EMP0053,Date日期型（yyyy-mm-dd）（10个字节）,,GRADUATION_DATE,最高学历毕业时间,,,,
,\x00\x36,EMP0054,String字符串（变长）,,POST_GRADES,岗位等级,管理一级至管理十级、管理未定级、专技一级至专技十三级、专技未定级、工勤一级至工勤五级、普通未定级、技工未定级、辅岗人员,200,,
,\x00\x37,EMP0055,Date日期型（yyyy-mm-dd）（10个字节）,,TITLE_DATE,职称取得日期,职称取得日期,,,
,\x00\x38,EMP0056,String字符串（变长）,,JOB_CATEGORY,岗位类别,行政人员、医疗人员:医生、药剂、护理、医技；工勤技能人员、辅岗人员,200,,
,\x00\x39,EMP0057,String字符串（变长）,,FORMS_EMPLOYMENT,用工形式,编内职工、编外(医院)、编外(劳务)、教编、辅岗、返聘人员、规培(编内职工)、规培(单位职工)、规培(教编)、规培(在职研究生)、大学实习生、在职研究生(学术型)、外来进修人员、外聘兼职人员、规培(编外职工)、规培(个人委托)、规培(社会人)、院外参评人员,200,,
,\x00\x3A,EMP0058,String字符串（变长）,,POLITICAL_LANDSCAPE,政治面貌,无、共青团员、中共党员,200,,
,\x00\x3B,EMP0059,简化字典（Integer整型，4个字节）,379,SD_PAY_FLAG,是否发工资,是否发工资,,,
,\x00\x3C,EMP0060,String字符串（变长）,,WORK_STAT,在职状态,全职、兼职、借调、见习、轮岗、离岗、临聘在岗、实习生状态：实习中、实习结束；进修生状态：进修中、进修结束；,200,,
,\x00\x3D,EMP0061,String字符串（变长）,,GRADUATION_SCHOOL,最高学历毕业学校,,200,,
,\x00\x3E,EMP0062,String字符串（变长）,,IMMEDIATE_SUPERIOR,直接上级,,200,,
,\x00\x3F,EMP0063,String字符串（变长）,,POSITIVE_STAT,转正情况,未转正、已转正,200,,
,\x00\x40,EMP0064,简化字典（Integer整型，4个字节）,379,SD_FOREIGN_FLAG,是否外籍,是否外籍,,,
,\x00\x41,EMP0065,String字符串（变长）,,DOCTOR_CERTIFICATE,全科医生取得证书情况,住院医师规范化培训合格证、全科医生转岗培训合格证、全科医生骨干培训合格证、全科医生岗位培训合格证,200,,
,\x00\x42,EMP0066,简化字典（Integer整型，4个字节）,379,SD_ACCREDIT_VILL_CLINIC,是否乡镇工作,是否由乡镇卫生院或社区卫生服务机构派驻村卫生室工作,,,
,\x00\x43,EMP0067,简化字典（Integer整型，4个字节）,379,SD_DOCTOR_TRA_CERTIFICATE,是否获得规培证书,是否获得国家住院医师规范化培训合格证书,,,
,\x00\x44,EMP0068,简化字典（Integer整型，4个字节）,379,SD_INFORMATION_BUSINESS,是否从事统计信息化业务工作,是否从事统计信息化业务工作,,,
,\x00\x45,EMP0069,String字符串（变长）,,PHYSICIAN_PRACTICE,医师执业类别,临床、口腔、公共卫生、中医,200,,
,\x00\x46,EMP0070,简化字典（Integer整型，4个字节）,,REGISTER_LOC_PRACTITIONER,是否注册为多地点执业医师,是否,,,
,\x00\x47,EMP0071,String字符串（变长）,,SECOND_PRA_UNIT,第2执业单位类别代码,医院、乡镇卫生院、社区卫生服务中心/站,200,,
,\x00\x48,EMP0072,String字符串（变长）,,PARTY_POSTS,党内职务,党委书记、党总支书记,200,,
,\x00\x49,EMP0073,String字符串（变长）,,OTHER_POSTS,其他职务,工会主席、团委书记,200,,
,\x00\x4A,EMP0074,String字符串（变长）,,PROFESSION_TECHNICAL,现专业技术职务,正高、副高、中级,200,,
,\x00\x4B,EMP0075,String字符串（变长）,,HIGH_EDU_MAJOR,最高学历所学专业,哲学、经济学、法学、临床医学,200,,
,\x00\x4C,EMP0076,String字符串（变长）,,INFORMATION_TYPE,统计信息化业务工作种类,卫生统计、网络运维管理、应用系统开发运维、信息标准与安全、业务管理、其他,200,,
,\x00\x4D,EMP0077,简化字典（Integer整型，4个字节）,379,SD_REGISTER_MED_MAJOR,是否注册为全科医学专业,是否注册为全科医学专业,,,
,\x00\x4E,EMP0078,简化字典（Integer整型，4个字节）,,ASSISTANT_DOC_CERTIFICATE,是否取得乡村全科执业助理医师证书,是否,,,
,\x00\x4F,EMP0079,String字符串（变长）,,ACADEMIC_DIRECTIONS,从事专业类别代码,执业医师、见习医师、中药师、检验技师,200,,
,\x00\x50,EMP0080,Integer整型（4个字节）,,WORK_AGE,工龄(月),工龄(月),,,
,\x00\x51,EMP0081,String字符串（变长）,,SC_ID_TYPE,证件类别代码,证件类别代码,200,,
,\x00\x52,EMP0082,String字符串（变长）,,ST_ID_TYPE,证件类别描述,证件类别描述,200,,
,\x00\x53,EMP0083,String字符串（变长）,,BRITH_PLACE,出生地,出生地,200,,
,\x00\x54,EMP0084,String字符串（变长）,,SC_EMP_APPLY,申请者工号,申请者工号,200,,
,\x00\x55,EMP0085,String字符串（变长）,,ST_EMP_APPLY,申请者姓名,申请者姓名,200,,
,\x00\x56,EMP0086,String字符串（变长）,,SC_TITLE_CERTIFICATE,职称证书编码,,200,,
,\x00\x57,EMP0087,String字符串（变长）,,ST_TITLE_CERTIFICATE,职称证书名称,,200,,
