索引,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,命名空间,JHPDL,,,,,,,,
,,,,,,,,,,
,表名,JH_UL_MEASURE,表全名,JHPDL:JH_UL_MEASURE,,,,,,
,表说明,超声测量值,,,,,,,,
,列族名,CF,RowKey类型,Long长整型（8个字节）,列族代号,SUF,,,,
,,,,,,,,,,
,序号（I）,列名（N）,数据类型（T）,对应字典序号（K）,输出编号（C）,中文说明（D）,备注,字段长度,IDG索引,主题库索引
,\x00\x01,SUF0001,String字符串（变长）,,UL_MEASURE_SN,超声测量值编号,超声测量值编号，系统生成三级编码，如“SF0.000.000.001”,20,是,是
,\x00\x02,SUF0002,String字符串（变长）,,HIS_KEY,来源业务系统主键,院内来源业务系统该行数据的唯一编号（可能需要转换）,200,是,是
,\x00\x03,SUF0003,String字符串（变长）,,EXAM_REPORT_SN,检查报告编号,检查报告编号，来源JH_EXAM_REPORT的ERT0001,20,是,是
,\x00\x04,SUF0004,String字符串（变长）,,EXAM_REPORT_CODE,检查报告单号,业务系统使用的检查报告单号,20,,
,\x00\x05,SUF0005,String字符串（变长）,,EXAM_APPLY_CODE,检查申请单号,业务系统使用的检查申请单号,20,,
,\x00\x06,SUF0006,String字符串（变长）,,SC_ORDER_DEPT,申请科室编码,申请科室，源业务系统的科室编号,200,,
,\x00\x07,SUF0007,String字符串（变长）,,ST_ORDER_DEPT,申请科室名称,申请科室，源业务系统的科室描述,200,,
,\x00\x08,SUF0008,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,REPORT_TIME,报告生成时间,系统报告已出时间，但还未审核,200,,
,\x00\x09,SUF0009,String字符串（变长）,,SC_EXAM_CLASS,检查类型编码,检查类型编码,200,,
,\x00\x0A,SUF0010,String字符串（变长）,,ST_EXAM_CLASS,检查类型名称,检查类型名称,100,,
,\x00\x0B,SUF0011,String字符串（变长）,,SC_EXAM_ITEM,检查项目编码,检查项目编码,100,,
,\x00\x0C,SUF0012,String字符串（变长）,,ST_EXAM_ITEM,检查项目名称,检查项目名称,20,,
,\x00\x0D,SUF0013,String字符串（变长）,,SC_EXAM_SUB_ITEM,检查明细项编码,检查明细项编码,20,,
,\x00\x0E,SUF0014,String字符串（变长）,,ST_EXAM_SUB_ITEM,检查明细项名称,检查明细项名称,20,,
,\x00\x0F,SUF0015,String字符串（变长）,,EXAM_GROUP,检查组号,检查组号,20,,
,\x00\x10,SUF0016,String字符串（变长）,,EXAM_ITEM_RESULT,检查结果,检查结果,50,,
,\x00\x11,SUF0017,String字符串（变长）,,EXAM_RESULT_UNIT,检查单位,检查单位,50,,
,\x00\x12,SUF0018,String字符串（变长）,,MAX_RESULT,正常上限,正常上限,50,,
,\x00\x13,SUF0019,String字符串（变长）,,MIN_RESULT,正常下限,正常下限,50,,
,\x00\x14,SUF0020,String字符串（变长）,,HIS_KEY_SRC,业务主键结构,业务主键结构,200,,
,\x00\x15,SUF0021,DateTime日期时间型（yyyy-mm-dd hh:nn:ss）（19个字节）,,PDL_LAST_UPDATE,系统更新时间,系统更新时间,,,
,\x00\x16,SUF0022,String字符串（变长）,,MED_ORG_SN,医疗机构编号,用于区分多院区、集团医院、区域医疗的医疗机构唯一编号,,,
